hous_info,hous_name,title,totalPrice,unitPrice
"3室2厅 | 90.43平米 | 北 | 简装 | 低楼层(共31层) | 2003年建 | 板塔结合,3室1厅 | 80.55平米 | 南 | 精装 | 高楼层(共24层) | 2015年建 | 塔楼,4室2厅 | 77.72平米 | 南 | 精装 | 中楼层(共24层) | 2012年建 | 塔楼,3室2厅 | 94.86平米 | 东 西 | 精装 | 中楼层(共11层) | 2007年建 | 板塔结合,4室2厅 | 142.55平米 | 南 北 | 精装 | 低楼层(共24层) | 2005年建 | 塔楼,1室1厅 | 34平米 | 南 | 精装 | 低楼层(共7层) | 1990年建 | 板楼,2室2厅 | 61平米 | 南 | 简装 | 8层 | 1999年建 | 板塔结合,3室2厅 | 79.03平米 | 南 | 简装 | 中楼层(共11层) | 2004年建 | 板塔结合,3室1厅 | 78.37平米 | 西南 | 精装 | 高楼层(共35层) | 2000年建 | 板塔结合,2室1厅 | 89.59平米 | 南 | 精装 | 30层 | 2011年建 | 板楼,3室2厅 | 116.56平米 | 东 | 精装 | 低楼层(共22层) | 2003年建 | 板塔结合,2室1厅 | 108.34平米 | 西南 | 精装 | 低楼层(共45层) | 2012年建 | 板塔结合,3室2厅 | 78.56平米 | 西南 | 精装 | 高楼层(共32层)  | 板塔结合,2室1厅 | 52.31平米 | 西南 | 简装 | 高楼层(共25层) | 2019年建 | 板塔结合,2室1厅 | 60.4平米 | 北 | 简装 | 高楼层(共30层) | 1999年建 | 塔楼,3室1厅 | 79.83平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,1室0厅 | 28.64平米 | 东 | 精装 | 高楼层(共30层) | 2013年建 | 塔楼,2室2厅 | 72.45平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板塔结合,3室1厅 | 63.8平米 | 北 | 精装 | 中楼层(共8层) | 1999年建 | 板楼,2室2厅 | 65.85平米 | 南 | 精装 | 低楼层(共8层) | 1999年建 | 板楼,1室1厅 | 26.65平米 | 西北 | 精装 | 低楼层(共16层) | 2008年建 | 塔楼,2室2厅 | 72.14平米 | 南 | 精装 | 高楼层(共19层) | 2015年建 | 板塔结合,2室1厅 | 87.16平米 | 东 | 简装 | 20层 | 1999年建 | 板塔结合,2室1厅 | 67.32平米 | 南 | 精装 | 低楼层(共31层) | 2015年建 | 塔楼,2室2厅 | 62.45平米 | 东北 | 精装 | 26层 | 2005年建 | 塔楼,3室2厅 | 57.9平米 | 西北 | 精装 | 高楼层(共32层) | 2003年建 | 板塔结合,2室2厅 | 66.88平米 | 东北 | 精装 | 18层 | 2005年建 | 板塔结合,5室2厅 | 100.51平米 | 东南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,2室1厅 | 43.18平米 | 东南 | 精装 | 中楼层(共8层) | 1997年建 | 塔楼,4室2厅 | 151.92平米 | 西南 | 精装 | 中楼层(共29层) | 2005年建 | 塔楼","梅林一村十二区 ,锦缘里嘉园 ,中森双子座公馆 ,花里林居 ,深业新岸线一期 ,愉天小区 ,又一村花园 ,大世纪水山缘 ,帝景峰 ,首地容御 ,荔林春晓 ,世纪汇都会轩 ,奥园翡翠东湾 ,龙光玖钻 ,龙珠花园C区 ,龙富花园(龙富路) ,御锦公馆 ,宏发雍景城 ,荔园阁一期 ,荔园阁一期 ,迷你新居福田 ,山海津 ,跃华园 ,君临海域 ,金色年华家园 ,皇庭彩园 ,天朗风清 ,知春里 ,翠景居 ,鸿景园 ","安静宜居 一手业主 围合小区 配套齐全 交通便利,锦缘里嘉园2015年建成次新房，正南三房，高层视野好,大运新城 满五年 唯一住宅 精装自住 四房,花里自住精装大三房，业主诚心卖，满五唯一,深业新岸线正规4房，带入户花园，户型通透满五年唯一,愉天小区 1室1厅 南,中间楼层，采光及视野好，距长龙地铁口近,满五年，业主诚心卖，电梯小高层，随时可看房。,帝景峰 3室1厅 西南,首地容御 2室1厅 南,荔香公园边，满五，带一个固定车位，朝东安静大三房,地铁口物业，配套完善 诚心卖 价格可谈,标准三房户型，高楼层看花园，视野开阔,看房提前约，业主诚心出售，同事们多推推。,中高楼层，不靠马路边，安静采光好,客厅出阳台，自住保养很好，诚心卖。,御锦公馆 1室0厅 东,满五板楼大两房  南北朝向 户型方正实用 业主诚心出售,全新装修，中间楼层，业主工作调动，诚心出售。,梅林荔园阁 65.85平温馨两房 公园之家 近地铁,迷你新居 新上房源 总价低 地段好 满五年唯一 税费少,精装两房，视野无遮挡，看山看海，满五税费少，诚心卖,跃华园87.16大两房，看房方便，有钥匙,君临海域一手业主、红本满五年、看房方便、税费少,罗湖莲塘 盒马楼上 高层 正规两房 满五年 红本,满五唯一 高层无遮挡，采光通风好近皇岗公园三地铁,满五年 高楼层非顶楼 采光视野好 户型方正 两房两厅,满五年唯一红本在手，共3层带大露台,精装修拎包入住，小户型总价低，配套成熟生活便利,鸿荣源项目，通透的户型，花园中间满五唯一带车位","705,520,521,785,1239,336,251,329,275,822,1172,720,269,290,229,208,179,332,396,409,195,625,466,300,396,424,560,406,196,1099","单价77900元/平米,单价64500元/平米,单价67000元/平米,单价82700元/平米,单价86900元/平米,单价98800元/平米,单价41000元/平米,单价41600元/平米,单价35000元/平米,单价91700元/平米,单价100500元/平米,单价66458元/平米,单价34200元/平米,单价55439元/平米,单价37800元/平米,单价26000元/平米,单价62500元/平米,单价45800元/平米,单价62000元/平米,单价62000元/平米,单价73171元/平米,单价86500元/平米,单价53400元/平米,单价44564元/平米,单价63400元/平米,单价73200元/平米,单价83600元/平米,单价40300元/平米,单价45200元/平米,单价72300元/平米"
hous_info,hous_name,title,totalPrice,unitPrice
3室2厅 | 90.43平米 | 北 | 简装 | 低楼层(共31层) | 2003年建 | 板塔结合,梅林一村十二区 ,安静宜居 一手业主 围合小区 配套齐全 交通便利,705,单价77900元/平米
3室1厅 | 80.55平米 | 南 | 精装 | 高楼层(共24层) | 2015年建 | 塔楼,锦缘里嘉园 ,锦缘里嘉园2015年建成次新房，正南三房，高层视野好,520,单价64500元/平米
3室2厅 | 94.86平米 | 东 西 | 精装 | 中楼层(共11层) | 2007年建 | 板塔结合,花里林居 ,花里自住精装大三房，业主诚心卖，满五唯一,785,单价82700元/平米
4室2厅 | 142.55平米 | 南 北 | 精装 | 低楼层(共24层) | 2005年建 | 塔楼,深业新岸线一期 ,深业新岸线正规4房，带入户花园，户型通透满五年唯一,1239,单价86900元/平米
1室1厅 | 34平米 | 南 | 精装 | 低楼层(共7层) | 1990年建 | 板楼,愉天小区 ,愉天小区 1室1厅 南,336,单价98800元/平米
2室2厅 | 61平米 | 南 | 简装 | 8层 | 1999年建 | 板塔结合,又一村花园 ,中间楼层，采光及视野好，距长龙地铁口近,251,单价41000元/平米
3室2厅 | 79.03平米 | 南 | 简装 | 中楼层(共11层) | 2004年建 | 板塔结合,大世纪水山缘 ,满五年，业主诚心卖，电梯小高层，随时可看房。,329,单价41600元/平米
3室1厅 | 78.37平米 | 西南 | 精装 | 高楼层(共35层) | 2000年建 | 板塔结合,帝景峰 ,帝景峰 3室1厅 西南,275,单价35000元/平米
2室1厅 | 89.59平米 | 南 | 精装 | 30层 | 2011年建 | 板楼,首地容御 ,首地容御 2室1厅 南,822,单价91700元/平米
3室2厅 | 116.56平米 | 东 | 精装 | 低楼层(共22层) | 2003年建 | 板塔结合,荔林春晓 ,荔香公园边，满五，带一个固定车位，朝东安静大三房,1172,单价100500元/平米
2室1厅 | 108.34平米 | 西南 | 精装 | 低楼层(共45层) | 2012年建 | 板塔结合,世纪汇都会轩 ,地铁口物业，配套完善 诚心卖 价格可谈,720,单价66458元/平米
3室2厅 | 78.56平米 | 西南 | 精装 | 高楼层(共32层)  | 板塔结合,奥园翡翠东湾 ,标准三房户型，高楼层看花园，视野开阔,269,单价34200元/平米
2室1厅 | 52.31平米 | 西南 | 简装 | 高楼层(共25层) | 2019年建 | 板塔结合,龙光玖钻 ,看房提前约，业主诚心出售，同事们多推推。,290,单价55439元/平米
2室1厅 | 60.4平米 | 北 | 简装 | 高楼层(共30层) | 1999年建 | 塔楼,龙珠花园C区 ,中高楼层，不靠马路边，安静采光好,229,单价37800元/平米
3室1厅 | 79.83平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,龙富花园(龙富路) ,客厅出阳台，自住保养很好，诚心卖。,208,单价26000元/平米
1室0厅 | 28.64平米 | 东 | 精装 | 高楼层(共30层) | 2013年建 | 塔楼,御锦公馆 ,御锦公馆 1室0厅 东,179,单价62500元/平米
2室2厅 | 72.45平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板塔结合,宏发雍景城 ,满五板楼大两房  南北朝向 户型方正实用 业主诚心出售,332,单价45800元/平米
3室1厅 | 63.8平米 | 北 | 精装 | 中楼层(共8层) | 1999年建 | 板楼,荔园阁一期 ,全新装修，中间楼层，业主工作调动，诚心出售。,396,单价62000元/平米
2室2厅 | 65.85平米 | 南 | 精装 | 低楼层(共8层) | 1999年建 | 板楼,荔园阁一期 ,梅林荔园阁 65.85平温馨两房 公园之家 近地铁,409,单价62000元/平米
1室1厅 | 26.65平米 | 西北 | 精装 | 低楼层(共16层) | 2008年建 | 塔楼,迷你新居福田 ,迷你新居 新上房源 总价低 地段好 满五年唯一 税费少,195,单价73171元/平米
2室2厅 | 72.14平米 | 南 | 精装 | 高楼层(共19层) | 2015年建 | 板塔结合,山海津 ,精装两房，视野无遮挡，看山看海，满五税费少，诚心卖,625,单价86500元/平米
2室1厅 | 87.16平米 | 东 | 简装 | 20层 | 1999年建 | 板塔结合,跃华园 ,跃华园87.16大两房，看房方便，有钥匙,466,单价53400元/平米
2室1厅 | 67.32平米 | 南 | 精装 | 低楼层(共31层) | 2015年建 | 塔楼,君临海域 ,君临海域一手业主、红本满五年、看房方便、税费少,300,单价44564元/平米
2室2厅 | 62.45平米 | 东北 | 精装 | 26层 | 2005年建 | 塔楼,金色年华家园 ,罗湖莲塘 盒马楼上 高层 正规两房 满五年 红本,396,单价63400元/平米
3室2厅 | 57.9平米 | 西北 | 精装 | 高楼层(共32层) | 2003年建 | 板塔结合,皇庭彩园 ,满五唯一 高层无遮挡，采光通风好近皇岗公园三地铁,424,单价73200元/平米
2室2厅 | 66.88平米 | 东北 | 精装 | 18层 | 2005年建 | 板塔结合,天朗风清 ,满五年 高楼层非顶楼 采光视野好 户型方正 两房两厅,560,单价83600元/平米
5室2厅 | 100.51平米 | 东南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,知春里 ,满五年唯一红本在手，共3层带大露台,406,单价40300元/平米
2室1厅 | 43.18平米 | 东南 | 精装 | 中楼层(共8层) | 1997年建 | 塔楼,翠景居 ,精装修拎包入住，小户型总价低，配套成熟生活便利,196,单价45200元/平米
4室2厅 | 151.92平米 | 西南 | 精装 | 中楼层(共29层) | 2005年建 | 塔楼,鸿景园 ,鸿荣源项目，通透的户型，花园中间满五唯一带车位,1099,单价72300元/平米
3室2厅 | 79.62平米 | 西南 | 精装 | 中楼层(共32层) | 2017年建 | 板塔结合,宏发天汇城一期 ,楼层，户型好，看房方便，随时带看,385,单价48300元/平米
